,Kidney
0,"(2.5014014763316967, 'ENSG00000230452.1')"
1,"(2.533882544172786, 'ENSG00000128228.4')"
2,"(2.533882544172786, 'ENSG00000236069.1')"
3,"(2.5604833071815056, 'ENSG00000260691.4')"
4,"(2.5641307211490187, 'ENSG00000271762.1')"
5,"(2.5813855585458674, 'ENSG00000248977.1')"
6,"(2.5822905140718424, 'ENSG00000277320.1')"
7,"(2.583195152570104, 'ENSG00000227134.1')"
8,"(2.583195152570104, 'ENSG00000267775.1')"
9,"(2.585907169225235, 'ENSG00000279804.1')"
