,Breast
0,"(0.5734189673269937, 'ENSG00000201962.1')"
1,"(0.5750674394405716, 'ENSG00000137992.13')"
2,"(0.5761415379862351, 'ENSG00000257021.1')"
3,"(0.5775815164523108, 'ENSG00000259558.1')"
4,"(0.5788007449255093, 'ENSG00000025796.12')"
5,"(0.5800645769570468, 'ENSG00000201076.1')"
6,"(0.5808517355790935, 'ENSG00000167258.12')"
7,"(0.5813553309078312, 'ENSG00000281715.1')"
8,"(0.5817005254589275, 'ENSG00000276384.1')"
9,"(0.582693482387228, 'ENSG00000186868.14')"
