,Breast
0,"(1.4443484074479322, 'ENSG00000205266.8')"
1,"(1.4713238961869126, 'ENSG00000252348.1')"
2,"(1.485258398179689, 'ENSG00000135413.7')"
3,"(1.48777792229466, 'ENSG00000252449.1')"
4,"(1.4965628535186337, 'ENSG00000260394.2')"
5,"(1.4978136375677367, 'ENSG00000230310.1')"
6,"(1.4990633779917228, 'ENSG00000261222.2')"
7,"(1.5052965166359267, 'ENSG00000278319.1')"
8,"(1.512742381606536, 'ENSG00000162645.11')"
9,"(1.512742381606536, 'ENSG00000255043.1')"
