,Pancreas
0,"(0.4113546685258957, 'ENSG00000207703.1')"
1,"(0.4119128359389817, 'ENSG00000231086.1')"
2,"(0.4276017949104674, 'ENSG00000227342.1')"
3,"(0.43230751673449275, 'ENSG00000240128.1')"
4,"(0.4352074743302352, 'ENSG00000227945.1')"
5,"(0.4371443853157189, 'ENSG00000248685.4')"
6,"(0.43738165419309283, 'ENSG00000250614.1')"
7,"(0.4387788733944067, 'ENSG00000270550.1')"
8,"(0.4395268957084413, 'ENSG00000237833.1')"
9,"(0.4402613191130127, 'ENSG00000198932.11')"
