,Pancreas
0,"(0.0, 'ENSG00000065485.16')"
1,"(0.0, 'ENSG00000074603.17')"
2,"(0.0, 'ENSG00000134852.13')"
3,"(0.0, 'ENSG00000155816.18')"
4,"(0.0, 'ENSG00000201898.1')"
5,"(0.0, 'ENSG00000206931.1')"
6,"(0.0, 'ENSG00000211445.10')"
7,"(0.0, 'ENSG00000226454.1')"
8,"(0.0, 'ENSG00000227803.2')"
9,"(0.0, 'ENSG00000248740.4')"
