,Pancreas
0,"(0.337099931231621, 'ENSG00000252279.1')"
1,"(0.3692744729379982, 'ENSG00000125779.20')"
2,"(0.3692744729379982, 'ENSG00000171476.20')"
3,"(0.3692744729379982, 'ENSG00000181408.3')"
4,"(0.3692744729379982, 'ENSG00000278078.1')"
5,"(0.3988620176087328, 'ENSG00000223224.1')"
6,"(0.3988620176087328, 'ENSG00000232064.1')"
7,"(0.4264014327112209, 'ENSG00000152931.7')"
8,"(0.4264014327112209, 'ENSG00000222249.1')"
9,"(0.4264014327112209, 'ENSG00000255248.5')"
