,Breast
0,"(0.5740975657336246, 'ENSG00000234016.1')"
1,"(0.5838013104108736, 'ENSG00000201640.2')"
2,"(0.5838013104108736, 'ENSG00000274755.1')"
3,"(0.5870002456468933, 'ENSG00000083535.14')"
4,"(0.5901818420974785, 'ENSG00000118640.9')"
5,"(0.5901818420974785, 'ENSG00000138600.8')"
6,"(0.5901818420974785, 'ENSG00000273432.1')"
7,"(0.5933463786808115, 'ENSG00000221515.1')"
8,"(0.5933463786808115, 'ENSG00000266970.1')"
9,"(0.5933463786808115, 'ENSG00000275005.1')"
